,function_type,function_input,predicted_cpu,predicted_frequency,energy,duration,cpu_util,prediction_time
17,videoprocess,['820K-cbw3.avi'],13,2200000,6.240944475263424,811.0,3.556429857596392,0.32532923796679825
18,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",22,2000000,260.0768788501859,23326.0,23.07153148734464,0.21907035692129284
19,videoprocess,['820K-cbw3.avi'],2,1200000,4.035757423452239,1425.0,1.076955477045145,0.3181305059697479
20,imageprocess,['4.1M-backlit_flower_513144.jpg'],7,1200000,25.15822742128312,5898.0,1.0586661193358655,0.29041588597465307
21,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",10,2200000,65.49997247623217,5030.0,9.968488614622949,0.21947282704059035
22,floatmatmult,"['matrix1_2000_0.7.txt', 'matrix1_2000_0.7.txt']",7,1000000,105.06110793848154,12753.0,7.308958340358466,0.23402724601328373
23,linpack,['250'],16,1000000,6.988739059720807,1313.0,17.328176566696214,0.14209831494372338
24,linpack,['4000'],3,2000000,1621.605283704728,109654.0,3.4575177254786174,0.14263375895097852
25,encrypt,"['50000', '25']",5,2000000,195.6589513697049,17279.0,1.0389887129653077,0.17807517503388226
26,videoprocess,['2.2M.mp4'],31,1000000,124.32710597088624,16864.0,3.039852937600577,0.3507682769559324
27,encrypt,"['500', '75']",16,1800000,5.256950469032805,673.0,1.0153170301456478,0.20237341802567244
28,linpack,['2000'],25,1000000,279.05781723822093,14351.0,29.440824623331395,0.17278905399143696
29,floatmatmult,"['matrix1_6000_0.3.txt', 'matrix1_6000_0.3.txt']",1,1000000,1466.4999572728127,151879.0,1.7380058345407683,0.25190344301518053
30,encrypt,"['5000', '100']",28,1600000,86.27610582288864,8746.0,1.0383194171770729,0.19973830599337816
31,videoprocess,['404K-small.avi'],31,1000000,1.0282652298499522,2031.0,8.948271347870694,0.34098780201748013
32,imageprocess,['1.4M-sunset_river_514676.jpg'],25,1600000,21.952508177629923,2728.0,1.0500041666666662,0.3232991440454498
33,linpack,['5000'],31,1000000,466.14040590959297,19647.0,34.44014763472662,0.1688088240334764
34,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",31,2400000,111.05172841379736,4298.0,11.728485101008095,0.24253804190084338
35,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",1,1000000,3504.909819078138,351855.0,1.8650177342072871,0.2392786310520023
36,encrypt,"['50000', '30']",1,2000000,235.65604059173484,20959.0,1.018273713853869,0.20470405800733715
