,function_type,function_input,predicted_cpu,predicted_frequency,energy,duration,cpu_util,prediction_time
0,imageprocess,['4.0M-quotfrench_lacequot_rose_516786.jpg'],19,1200000,27.16313111410404,7228.0,7.408636081091092,0.3234380519716069
1,imageprocess,['2.4M-venice_in_winter_513381.jpg'],22,1000000,34.85267237251486,5980.0,3.247128280165516,0.31471934192813933
2,encrypt,"['5000', '75']",19,1600000,66.33574849459175,6639.0,1.0274934054440157,0.18430891202297062
3,imageprocess,['12M-disabled_fashion_513292.jpg'],28,1800000,45.71141079437256,8081.0,1.0532769071322496,0.3193439010065049
4,imageprocess,['4.9M-seeing_red_515961.jpg'],22,1800000,30.028424143709618,3559.0,1.069571957721034,0.31601146899629384
5,videoprocess,['5.6M-DLP_PART_2_768k.avi'],25,1200000,219.7388680393178,17644.0,11.48340589708717,0.3437047660117969
6,videoprocess,['5.6M-DLP_PART_2_768k.avi'],19,1200000,216.95472960563305,17756.0,8.558970209493022,0.345051510958001
7,encrypt,"['35000', '25']",1,1200000,191.1471661024129,20427.0,1.0379883295130168,0.1828777469927445
8,videoprocess,['820K-cbw3.avi'],25,2000000,4.129312050597564,814.0,1.069546797044769,0.347338623018004
9,imageprocess,['4.6M-that_was_the_end_this_is_the_begining_513290.jpg'],7,2000000,12.84232211770995,2203.0,1.066119991731043,0.3099222549935803
10,imageprocess,['1.4M-leaves_of_grass_515433.jpg'],19,2400000,34.6693016835708,3969.0,1.0595980642972953,0.314125086995773
11,videoprocess,['4.9M.mp4'],16,1000000,154.17697331032957,29120.0,5.780116656113044,0.3483717229682952
12,videoprocess,['5.6M.mp4'],5,2400000,144.3370619858998,13402.0,1.8607372247380745,0.34415291401091963
13,linpack,['4500'],1,2200000,4436.077751869492,352062.0,1.4887246922422066,0.1528915810631588
14,linpack,['4000'],19,2200000,559.8302084918133,15662.0,21.043792375091265,0.1541204130044207
15,imageprocess,['1.3M-pigeon_2_197296.jpg'],31,1600000,21.16323123003285,3224.0,1.0756390671488534,0.3102006509434432
16,videoprocess,['4.9M-640.avi'],25,1200000,77.14215407551146,8519.0,7.867122790108351,0.3453072300180793
17,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",28,2200000,1222.7605956828754,96881.0,30.688903758783496,0.23022928507998586
18,imageprocess,['5.6M-pink_sorrel_515688.jpg'],2,1800000,28.53839109820556,4698.0,1.070134816679852,0.31700769695453346
19,encrypt,"['5000', '75']",16,1800000,60.96919343962482,5857.0,1.0174320914766226,0.1822212029946968
20,videoprocess,['3.8M-lion-sample.avi'],13,1800000,123.20793034763604,8521.0,5.451980515096597,0.34039207792375237
21,videoprocess,['2.2M-star_trails.avi'],28,1400000,72.61824366161181,13628.0,3.0013432226008434,0.3388227850664407
22,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],3,2400000,19.354848555649863,2305.0,1.0638777319455603,0.31245278602000326
23,imageprocess,['5.9M-camping_516859.jpg'],7,1800000,37.06156571339313,6186.0,1.0605755448462415,0.319964588037692
24,imageprocess,['4.6M-that_was_the_end_this_is_the_begining_513290.jpg'],3,1600000,13.496450509909328,2746.0,1.0462570063967025,0.3158680859487504
25,videoprocess,['6.1M.mp4'],1,1400000,168.38686291828478,28899.0,1.1106554722711606,0.3458223349880427
26,videoprocess,['6.1M.mp4'],16,2000000,181.52691338382857,17073.0,2.4053774036482425,0.3450833229580894
27,linpack,['250'],5,2000000,28.03025690698169,1962.0,5.397019473439489,0.15335028304252774
28,videoprocess,['11M-SampleVideo_1280x720_10mb.mp4'],3,1600000,355.5721555989723,39606.0,2.061250332338417,0.3488544039428234
29,encrypt,"['10000', '100']",7,1400000,183.38085974676744,19739.0,1.0291960407971017,0.18156569998245686
30,floatmatmult,"['matrix1_4000_0.3.txt', 'matrix1_4000_0.3.txt']",7,1200000,335.6175305915847,35157.0,7.537435028242706,0.22446492302697152
31,imageprocess,['3.8M-sunset_and_evening_2_of_2_515480.jpg'],28,2400000,36.73807399414837,3895.0,1.0663372641474564,0.31599280401133
32,imageprocess,['3.9M-mouettes_seagulls_514235.jpg'],31,2000000,13.86928522143853,2481.0,1.6402588724472502,0.31915679189842194
33,encrypt,"['50000', '25']",19,1000000,298.6428651291092,34937.0,1.0390485007150254,0.1860405890038237
34,videoprocess,['6.1M.mp4'],22,2400000,168.6026895796034,13901.0,2.523339575405403,0.34727646596729755
35,floatmatmult,"['matrix1_4000_0.3.txt', 'matrix1_4000_0.3.txt']",19,2400000,273.91735433005726,16563.0,19.853495216275387,0.22736925701610744
36,encrypt,"['1000', '50']",3,1000000,9.962426623525118,1518.0,1.0249470015032929,0.18843904696404934
37,linpack,['500'],10,1800000,55.32189670736436,3669.0,10.575446505461793,0.15190834808163345
38,imageprocess,['13M-forest_515915.jpg'],16,1200000,57.34627669287862,13870.0,1.0591802329894824,0.3136893279151991
39,linpack,['750'],31,1600000,88.2234782793668,2570.0,33.82555195361675,0.14824812195729464
40,encrypt,"['35000', '75']",13,1600000,484.7129875661064,46546.0,1.0174179605209688,0.18203636608086526
41,videoprocess,['1.5M-bird.avi'],3,1200000,4.51886490574909,1809.0,1.0779964434677125,0.345462413970381
42,encrypt,"['50000', '30']",16,2200000,228.28984970018888,18889.0,1.0285632653954913,0.1836466690292582
43,floatmatmult,"['matrix1_1000_0.3.txt', 'matrix1_1000_0.3.txt']",3,1800000,18.743768792333725,2607.0,2.1439218299511253,0.22939523495733738
44,imageprocess,['5.7M-forest_floor_515925.jpg'],5,1200000,24.32424409179146,6021.0,1.3951518299023566,0.3174494600389153
45,encrypt,"['35000', '50']",7,1800000,290.1052367537925,26948.0,1.0199853871963351,0.1855157429818064
46,encrypt,"['500', '100']",7,2400000,7.554113771650198,660.0,6.198857018465664e-07,0.1830670009367168
47,imageprocess,['6.1M-fire_514822.jpg'],13,2000000,26.457291823857503,3229.0,1.0613880274502727,0.31396049505565315
48,imageprocess,['4.7M-cape_daisy_2_514383.jpg'],1,1400000,21.183732416567715,4809.0,1.2401233539765169,0.3109588840743527
49,encrypt,"['1000', '30']",19,1200000,4.441520034677557,789.0,1.028123738349575,0.18625838798470795
50,floatmatmult,"['matrix1_8000_0.7.txt', 'matrix1_8000_0.7.txt']",5,2200000,1610.4292686053593,110238.0,6.161879933450923,0.23100310598965734
51,floatmatmult,"['matrix1_6000_0.3.txt', 'matrix1_6000_0.3.txt']",10,1200000,826.6082193970569,87513.0,10.901672212858871,0.2281866290140897
52,floatmatmult,"['matrix1_2000_0.7.txt', 'matrix1_2000_0.7.txt']",13,1600000,80.81777392008325,7593.0,6.678893644937325,0.22926570801064372
53,videoprocess,['4.9M.mp4'],1,1200000,122.44397288657032,29157.0,1.097061513115463,0.34675114904530346
54,floatmatmult,"['matrix1_6000_0.7.txt', 'matrix1_6000_0.7.txt']",19,2200000,615.7586997414098,55027.0,20.43819184151449,0.22620268096216023
55,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",2,1000000,514.9090815592658,56470.0,2.5186549125709097,0.23083287000190467
56,videoprocess,['11M-SampleVideo_1280x720_10mb.mp4'],19,1000000,462.8779862956704,62254.0,2.586513171892936,0.34406527306418866
57,floatmatmult,"['matrix1_8000_0.3.txt', 'matrix1_8000_0.3.txt']",5,2400000,1553.1786581902024,89089.0,5.895904336190714,0.23244253499433398
58,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],16,2400000,19.047392123396595,2269.0,1.0587333197816726,0.31559993699193
59,linpack,['4000'],25,2000000,535.0312954285536,13135.0,27.82653229529258,0.15383885300252587
60,linpack,['3500'],25,1800000,440.6113082315235,12202.0,27.678269825984074,0.15031522698700428
61,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",3,2200000,341.8780289659108,25866.0,3.28785696660407,0.22830949805211276
62,videoprocess,['1008K-grb_2.avi'],19,1000000,71.5259390935051,9643.0,4.591898626488808,0.34906386700458825
63,encrypt,"['50000', '100']",22,2000000,817.1777479901593,69596.0,1.0280758949471138,0.18373504793271422
64,floatmatmult,"['matrix1_1000_0.7.txt', 'matrix1_1000_0.7.txt']",1,1800000,28.431824988331872,4033.0,1.1245172284740073,0.22961301798932254
65,videoprocess,['3.8M-lion-sample.avi'],2,1800000,70.98306069464337,8295.0,1.5929781198595774,0.3435951980063692
66,imageprocess,['4.6M-german_air_force_a340_3001602_517125.jpg'],22,2400000,25.64811203492917,2173.0,7.86430159823096,0.3074440431082621
67,encrypt,"['10000', '30']",1,1600000,54.33474949219092,5288.0,1.0266345529827483,0.1849921429529786
68,linpack,['4000'],10,1400000,722.0654180422536,40630.0,12.859478304185512,0.15397306205704808
69,linpack,['750'],19,2200000,106.30945214462844,3693.0,20.88939163580405,0.14855317294131964
70,imageprocess,['4.7M-cape_daisy_2_514383.jpg'],1,1800000,22.536138406493208,3929.0,1.039651996032688,0.31617852102499455
71,videoprocess,['660K-drop.avi'],28,1200000,3.532124414404501,1155.0,1.057416476499713,0.3452865689760074
72,imageprocess,['6.1M-fire_514822.jpg'],25,1400000,31.36734282005118,4505.0,1.036050623000523,0.3137408089824021
73,imageprocess,['1.9M-walk_away_517169.jpg'],5,2400000,28.68966335292697,2644.0,1.0598418071775264,0.3116031140089035
74,imageprocess,['4.5M-forest_513174.jpg'],10,1400000,15.29630090334586,3662.0,1.0522088469771091,0.3151401759823784
75,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",16,2200000,63.93707647730642,5029.0,11.76635008380716,0.22480646695476025
