tid,start_time,end_time,function,container_id,duration,cold_start_latency,cpu,inputs,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip
#tid_7f0f22dfa3e27a730a70979c1cf37bab,2023-09-20T01:30:05.955Z,2023-09-20T01:30:08.945Z,floatmatmult_1,705e01c6c572ef442452d3405eff5720ed13dad0e084f77f52c94a849182c447,2990,953,1,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",86.33986694442383,90.52698813470568,92.39858829751323,93.06057369517745,117.91015625,129.114.108.232
#tid_e32bb0a6f1fe28886e42cefd5619b250,2023-09-20T01:30:10.941Z,2023-09-20T01:30:13.002Z,floatmatmult_2,0cbe340169191a19dbcec6a2ea0ede6466c0ae055cddc4e406ddcfcd9e10852b,2061,810,2,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",142.26751591530856,150.85222381325775,164.67324676460296,168.12850250243932,116.65625,129.114.108.232
#tid_e881dc9629b8493cc868cfd063f40c67,2023-09-20T01:30:15.044Z,2023-09-20T01:30:16.814Z,floatmatmult_3,86d7941e130a59330ed6f8eefc9ef7f887e0cfae101131d741aa84dc484de934,1769,787,3,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",227.39252108840054,253.71516657879266,256.73634051708314,257.49163400165577,113.796875,129.114.108.232
#tid_6b8dfd8501e4e0800e1237dcc5058c09,2023-09-20T01:30:18.842Z,2023-09-20T01:30:20.506Z,floatmatmult_4,ccc36d977be606b87db3631fe0179104720aae945802443184d6dea8e7cadceb,1663,735,4,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",233.55681143237317,286.3695278672659,446.25124196160647,486.2216704851916,116.453125,129.114.108.232
#tid_b05bacf69c2fbcfa5f7bb1a23db9b809,2023-09-20T01:30:22.534Z,2023-09-20T01:30:24.105Z,floatmatmult_5,465874ff11a625b445a1fa6d737804a7d5cca2a11215610fa3cadf6036d9d8e4,1571,770,5,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",439.38277851359595,595.9264982505454,913.62959342632,993.0553672202639,115.12109375,129.114.108.232
#tid_6c63b8518d88e9b29fd321a4c7a8ee87,2023-09-20T01:30:26.041Z,2023-09-20T01:30:27.569Z,floatmatmult_6,f37e19e3c10794c0d6966e12767f7b276ec01527d0145c5241b46b58a047bf5e,1528,780,6,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",347.0031279136248,423.94231119553467,557.7069304390334,591.1480852499081,116.0078125,129.114.108.232
#tid_060c51b722f5504956f2d45f0c03db5b,2023-09-20T01:30:29.506Z,2023-09-20T01:30:30.963Z,floatmatmult_7,b249d74cef925c051f73e0e918ad494bbf0f3c87e42217b1d6d5809c67b2c0a4,1457,742,7,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",353.972042883712,480.7131660156565,661.9298079893695,707.233968482798,117.44140625,129.114.108.232
#tid_37c276b45ca4bfc3b40ccf14b4bbae08,2023-09-20T01:30:32.832Z,2023-09-20T01:30:34.303Z,floatmatmult_8,59a21d79f9fad1b62c0613b0135e5dbab93d83ec7b3eb3da2cbf83566e3498b1,1471,689,8,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",618.3431303448731,850.9568044366429,946.3611176836143,970.2121959953574,118.08984375,129.114.108.232
#tid_b9a1785fc7ac4bae1dae6a95e46bb407,2023-09-20T01:30:36.258Z,2023-09-20T01:30:37.706Z,floatmatmult_9,25a6e2e60ae0544373d3726b86d0a0b236b76b40443805cb1bcd5d8fc0c4f5db,1447,767,9,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",609.9489176105337,939.3929812857139,1266.6030709656902,1348.4055933856846,117.9609375,129.114.108.232
#tid_55ef076ec644e2005685b8961681ed88,2023-09-20T01:30:39.630Z,2023-09-20T01:30:41.101Z,floatmatmult_10,9ca4c302761112fd8565aaeea751d5f33a79e5d63efcd2208ef0801e0d1af63e,1471,723,10,"[""\""matrix1_1000_0.5.txt\"""", ""\""matrix1_1000_0.5.txt\""""]",709.2959775330085,815.1450215338351,941.9436571860118,973.6433160990562,117.703125,129.114.108.232
