tid,start_time,end_time,function,container_id,duration,cold_start_latency,cpu,inputs,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip
#tid_18e84ae2a689b29cd2d549b5701b887c,2023-09-13T22:41:46.832Z,2023-09-13T22:42:01.657Z,floatmatmult_8,a21cc4993d6e9b9edc055f0adc5b62c939aee31ab5aa952e11517eb128c356d2,14824,680,8,"[-1, -1]",,,,,,129.114.108.158
#tid_b2b97c966ac77db29da6670bb5063592,2023-09-13T22:42:16.493Z,2023-09-13T22:42:31.248Z,floatmatmult_8,a21cc4993d6e9b9edc055f0adc5b62c939aee31ab5aa952e11517eb128c356d2,14754,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_a127904a951a2e0508e08932e5f38498,2023-09-13T22:42:36.096Z,2023-09-13T22:42:50.894Z,floatmatmult_8,a21cc4993d6e9b9edc055f0adc5b62c939aee31ab5aa952e11517eb128c356d2,14797,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_23e0349951d307195193ae935b62bd39,2023-09-13T22:43:17.726Z,2023-09-13T22:43:32.639Z,floatmatmult_8,a21cc4993d6e9b9edc055f0adc5b62c939aee31ab5aa952e11517eb128c356d2,14913,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_9711c2d39f2fd90ba1f50ad52feac980,2023-09-13T22:43:21.846Z,2023-09-13T22:43:25.610Z,imageprocess,0bd3d0127f6cf734781d762f538dd86778bbf93efb44cb5535d8160da1a22cf0,3763,492,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_63648c806525129384ab790d8ae1ebed,2023-09-14T01:08:11.530Z,2023-09-14T01:08:27.086Z,floatmatmult_8,26f148ea372c97c43548385a62a17863dee43c4d8dff9a8827cf798fba0748ed,15555,727,8,"[-1, -1]",,,,,,129.114.108.158
#tid_a9261e7db0f29612deb5600c0323df1c,2023-09-14T01:09:14.641Z,2023-09-14T01:09:29.621Z,floatmatmult_8,26f148ea372c97c43548385a62a17863dee43c4d8dff9a8827cf798fba0748ed,14979,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_2928b98803df1b03469a74df3b55eb1e,2023-09-14T01:10:50.451Z,2023-09-14T01:11:05.896Z,floatmatmult_8,d775c7bfdc8c9a94990f4b61392d812a96e4fffdc571fbaede7d8bb0f9950d34,15444,733,8,"[-1, -1]",,,,,,129.114.108.158
#tid_a13a095123fab36278353bc8fa36b835,2023-09-14T01:12:16.937Z,2023-09-14T01:12:32.396Z,floatmatmult_8,d775c7bfdc8c9a94990f4b61392d812a96e4fffdc571fbaede7d8bb0f9950d34,15459,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_d30a5a0c20e484d357623431ca35f2a9,2023-09-14T01:13:33.922Z,2023-09-14T01:13:49.079Z,floatmatmult_8,d775c7bfdc8c9a94990f4b61392d812a96e4fffdc571fbaede7d8bb0f9950d34,15156,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_1ee8a20314a33307c9788684566cff06,2023-09-14T01:15:34.023Z,2023-09-14T01:15:48.801Z,floatmatmult_8,744d1125b27fac584ae804fc2c3d1c08a94c7893c0004a13d10e7449047d469e,14778,699,8,"[-1, -1]",,,,,,129.114.108.158
#tid_9fb03fbb225d37f14f75a102cfe67c47,2023-09-14T01:17:18.057Z,2023-09-14T01:17:33.242Z,floatmatmult_8,744d1125b27fac584ae804fc2c3d1c08a94c7893c0004a13d10e7449047d469e,15184,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_2446125d141c0363fed6d2122ddd3bed,2023-09-14T01:17:22.624Z,2023-09-14T01:17:26.224Z,imageprocess,b1f4307d83ab8564b970528e60f3dcc56c819dcc73d45ed6a7de578f2daadcff,3599,504,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_9dac4323dd880ad8d422cdc22e825fc6,2023-09-14T23:26:11.880Z,2023-09-14T23:26:24.166Z,floatmatmult_30,e709686b9d24837b8abfe0efcdf33c0a1c018d52c2ec01dd1749160033fff294,12286,595,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_89718512ccf4627b9f1f8783678d73a7,2023-09-14T23:38:25.250Z,2023-09-14T23:38:38.322Z,floatmatmult_20,7a85de682ad8e809157883eada1887b0465eb08ec4ee65d0ebaa039ae2ebe705,13072,643,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_9d1871727b59c7baebc7936deb4a4ce9,2023-09-14T23:44:03.589Z,2023-09-14T23:44:16.386Z,floatmatmult_20,7a85de682ad8e809157883eada1887b0465eb08ec4ee65d0ebaa039ae2ebe705,12796,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_37d8527bc2c9f88e56ef409a02063141,2023-09-14T23:48:03.879Z,2023-09-14T23:48:16.940Z,floatmatmult_20,d84f0eb78d91cc10c9ca9e69202f8bdddcc1d7e1c02c172c39c85eb05b205064,13061,673,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_fec8180765cdfe9c12fe33976c2dc281,2023-09-14T23:50:32.904Z,2023-09-14T23:50:45.886Z,floatmatmult_20,507daa54896f3650b49c9087abf28b6e850d57843b6b7b45c0aea4b290713668,12982,637,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_97a369121bd57ac90dabb3b59e8f38ff,2023-09-14T23:52:07.200Z,2023-09-14T23:52:20.345Z,floatmatmult_20,7fe4d87c62b73c011f37e0ba58dca354d38c7a97c79b53232d564480aa03beba,13144,636,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_1cb3d2c249aaf24f949e5ede6af39d68,2023-09-15T00:01:09.111Z,2023-09-15T00:01:22.172Z,floatmatmult_20,5a50230fd4fb44072fc2e2763a85bc5082ccc39d80bc8368288cedaf2116ec35,13060,675,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_3767a753af09dfdc341798975799d725,2023-09-15T00:03:15.822Z,2023-09-15T00:03:28.941Z,floatmatmult_20,7e23f2708def3ac5d1657ad09cc32c3ceb24e66dfc4ca6b23b62afa16a86d4c4,13118,665,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_dc1555d37f1f1c2682c9ef3ad560fee2,2023-09-15T00:04:43.977Z,2023-09-15T00:04:56.935Z,floatmatmult_20,7e23f2708def3ac5d1657ad09cc32c3ceb24e66dfc4ca6b23b62afa16a86d4c4,12957,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_211ca142a0a53f9ca2c48b6cfdef695d,2023-09-15T00:08:13.076Z,2023-09-15T00:08:26.147Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,13070,579,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_1b3b5238a83f8b16cd2bd9984e584378,2023-09-15T00:08:54.461Z,2023-09-15T00:09:07.379Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12918,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_cb6390989e024edc9a3fd30041d989c4,2023-09-15T00:09:52.169Z,2023-09-15T00:10:05.112Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12942,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_968896fd078d21a1ac1ad0080d35de6c,2023-09-15T00:10:46.606Z,2023-09-15T00:10:59.193Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12587,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_83bbcfa3b37f9ef0fb336f4bc04f81a0,2023-09-15T00:13:44.678Z,2023-09-15T00:13:57.660Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12982,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_def8c8e93357a420084b42bf0e120dff,2023-09-15T00:15:20.405Z,2023-09-15T00:15:33.164Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12758,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_cbede7edd8118f8311f9d2570a22f481,2023-09-15T00:17:31.377Z,2023-09-15T00:17:43.912Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12534,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_fa8d78d3aa94b672611822dc94688afd,2023-09-15T00:24:48.241Z,2023-09-15T00:25:00.594Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12352,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_b0b9e1a55defafa420f42316c07e506c,2023-09-15T00:26:08.081Z,2023-09-15T00:26:20.671Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12589,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_0aeaef3495e323dc29aaf8057243b4d0,2023-09-15T00:27:11.525Z,2023-09-15T00:27:24.123Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12597,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_7b14f88f88b5a7e3d105400a95253905,2023-09-15T00:28:06.018Z,2023-09-15T00:28:18.580Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12561,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_eb1b09e060a66d43ff0bf19927515b85,2023-09-15T00:34:16.830Z,2023-09-15T00:34:29.395Z,floatmatmult_20,ba0cb48447dcb4ec35c0439aba17939bdf126a8f20e1b35b065f4e8c5d04988f,12565,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_ddc99018b0a8e440ddf3f4a64b1e309f,2023-09-15T01:13:48.325Z,2023-09-15T01:14:01.017Z,floatmatmult_20,62b9423a4f05bf81be88474e2dc7f2c0b00b2bad13fe1856008202b9359e37bf,12691,643,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_22d45ba67b77f9bf33e344d250bd0aaa,2023-09-15T01:17:08.773Z,2023-09-15T01:17:21.522Z,floatmatmult_20,62b9423a4f05bf81be88474e2dc7f2c0b00b2bad13fe1856008202b9359e37bf,12749,0,-1,"[-1, -1]",,,,,,129.114.108.158
