psinha25-python,2,512,1.46786,54.7062,37.2694,52.2748,35.613
psinha25-python,2,1024,1.45936,54.3193,37.2214,52.0206,35.6462
psinha25-python,2,2048,1.48013,55.2618,37.3356,52.6284,35.5565
psinha25-python,2,4096,1.47846,55.2456,37.367,52.5568,35.5483
psinha25-python,4,512,1.46254,54.4847,37.2534,51.895,35.4828
psinha25-python,4,1024,1.50393,56.0985,37.3013,53.3495,35.4735
psinha25-python,4,2048,1.44608,53.816,37.215,51.5056,35.6173
psinha25-python,4,4096,1.48166,55.3514,37.3577,52.6888,35.5607
psinha25-python,8,512,1.46743,54.6608,37.2493,52.2996,35.6402
psinha25-python,8,1024,1.48474,55.6208,37.4616,52.8723,35.6104
psinha25-python,8,2048,1.47248,55.067,37.3975,52.4118,35.5942
psinha25-python,8,4096,1.45418,54.261,37.3139,51.8818,35.6778
psinha25-python,16,512,1.46687,54.5088,37.16,52.3732,35.7041
psinha25-python,16,1024,1.4568,54.3952,37.3387,51.7833,35.5458
psinha25-python,16,2048,1.46791,54.6832,37.2524,52.1542,35.5296
psinha25-python,16,4096,1.45265,54.303,37.382,51.6674,35.5677
psinha25-python,32,512,1.44697,54.2783,37.5117,51.5649,35.6365
psinha25-python,32,1024,1.47386,55.3461,37.5517,52.2698,35.4645
psinha25-python,32,2048,1.46587,55.8389,38.0926,51.895,35.402
psinha25-python,32,4096,1.45505,54.6614,37.5666,51.7112,35.5391
psinha25-python,48,512,1.5345,57.7378,37.6264,54.7975,35.7103
psinha25-python,48,1024,1.44385,54.3774,37.6614,51.4496,35.6336
psinha25-python,48,2048,1.4784,55.4996,37.5403,52.7175,35.6584
psinha25-python,48,4096,1.47071,55.0751,37.4481,52.3282,35.5803
psinha25-resnet,2,512,1.50262,56.069,37.3141,53.5064,35.6087
psinha25-resnet,2,1024,1.49488,56.0735,37.5104,53.3063,35.6593
psinha25-resnet,2,2048,1.48487,55.5356,37.401,52.7783,35.544
psinha25-resnet,2,4096,1.46185,54.4957,37.2785,52.1687,35.6867
psinha25-resnet,4,512,1.46635,54.6983,37.3024,52.2665,35.6441
psinha25-resnet,4,1024,1.46242,54.8899,37.5335,51.9528,35.5252
psinha25-resnet,4,2048,1.45528,54.5199,37.4634,51.7996,35.5941
psinha25-resnet,4,4096,1.46682,54.7385,37.3179,52.3491,35.6889
psinha25-resnet,8,512,1.47222,54.7437,37.1843,52.3709,35.5727
psinha25-resnet,8,1024,1.49952,55.7571,37.1834,53.5032,35.6803
psinha25-resnet,8,2048,1.49713,56.1781,37.5239,53.1669,35.5126
psinha25-resnet,8,4096,1.48637,55.8007,37.5417,52.8687,35.5691
psinha25-resnet,16,512,1.43895,54.2261,37.6845,51.0899,35.505
psinha25-resnet,16,1024,1.48227,55.9272,37.7309,52.5283,35.4378
psinha25-resnet,16,2048,1.46983,55.0847,37.4768,52.2135,35.5234
psinha25-resnet,16,4096,1.46619,54.9268,37.4624,52.3557,35.7088
psinha25-resnet,32,512,1.46487,54.7663,37.3866,52.5833,35.8963
psinha25-resnet,32,1024,1.455,54.3641,37.3636,52.2855,35.935
psinha25-resnet,32,2048,1.4785,55.5774,37.5903,52.8497,35.7454
psinha25-resnet,32,4096,1.4872,55.7015,37.4541,53.4726,35.9553
psinha25-resnet,48,512,1.48061,55.4011,37.4178,53.166,35.9082
psinha25-resnet,48,1024,1.46802,55.0782,37.5188,52.4824,35.7505
psinha25-resnet,48,2048,1.45649,54.9921,37.7567,52.223,35.8555
psinha25-resnet,48,4096,1.44145,54.0601,37.5038,51.6832,35.8549
psinha25-mobilenet,2,512,1.44462,54.1458,37.481,51.733,35.8108
psinha25-mobilenet,2,1024,1.47041,55.0892,37.4652,52.5254,35.7216
psinha25-mobilenet,2,2048,1.46769,54.7096,37.276,52.5087,35.7764
psinha25-mobilenet,2,4096,1.50231,55.962,37.2506,53.794,35.8074
psinha25-mobilenet,4,512,1.47369,55.0696,37.3686,52.7484,35.7935
psinha25-mobilenet,4,1024,1.44649,54.0138,37.3412,51.767,35.7879
psinha25-mobilenet,4,2048,1.44999,54.2033,37.3819,51.8232,35.7405
psinha25-mobilenet,4,4096,1.45637,54.6222,37.5056,51.7924,35.5626
psinha25-mobilenet,8,512,1.46087,54.8451,37.5429,52.1306,35.6847
psinha25-mobilenet,8,1024,1.46344,54.495,37.2375,52.292,35.7321
psinha25-mobilenet,8,2048,1.46185,54.8779,37.54,52.1709,35.6883
psinha25-mobilenet,8,4096,1.46934,55.1221,37.5149,52.3077,35.5995
psinha25-mobilenet,16,512,1.46189,54.7501,37.4515,51.9449,35.5327
psinha25-mobilenet,16,1024,1.48401,55.1613,37.1704,53.0126,35.7226
psinha25-mobilenet,16,2048,1.4552,54.2397,37.273,51.9048,35.6685
psinha25-mobilenet,16,4096,1.4468,54.1454,37.4242,51.3589,35.4982
psinha25-mobilenet,32,512,1.47868,55.3112,37.4059,52.5742,35.5548
psinha25-mobilenet,32,1024,1.44921,54.6519,37.7116,51.6337,35.629
psinha25-mobilenet,32,2048,1.50786,56.7981,37.6679,53.623,35.5623
psinha25-mobilenet,32,4096,1.47046,55.3981,37.6739,52.3228,35.5825
psinha25-mobilenet,48,512,1.46467,54.894,37.4789,52.1292,35.5912
psinha25-mobilenet,48,1024,1.50828,56.5572,37.4978,53.9698,35.7823
psinha25-mobilenet,48,2048,1.46352,54.8874,37.5038,52.233,35.6901
psinha25-mobilenet,48,4096,1.46094,55.1239,37.7318,52.2246,35.7473
psinha25-redis,2,512,1.45045,54.7863,37.7719,51.5468,35.5384
