CPU	CPU%c6
26	99.92
40	96.26
44	99.88
46	99.66
42	95.00
38	98.77
1	97.59
5	99.68
9	97.93
13	99.85
11	99.47
7	99.08
3	99.32
17	99.95
21	99.93
25	99.93
23	99.95
19	99.88
15	99.32
29	93.38
33	99.90
37	99.95
35	99.95
31	99.95
27	99.85
41	99.95
45	99.95
47	99.49
43	99.95
39	99.71
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.37
8	92.79
10	99.80
6	98.84
2	99.35
12	98.30
16	99.90
20	99.93
22	99.40
18	99.93
14	97.97
24	98.53
28	99.90
32	98.68
36	99.90
34	98.83
30	95.47
26	99.93
40	95.90
44	99.80
46	99.47
42	95.18
38	98.65
1	98.65
5	99.35
9	99.70
13	99.88
11	99.21
7	99.85
3	99.52
17	99.87
21	99.90
25	99.93
23	99.90
19	99.78
15	99.93
29	92.99
33	99.93
37	99.93
35	99.90
31	99.84
27	99.83
41	99.90
45	99.86
47	99.34
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.93
8	93.04
10	99.79
6	98.85
2	99.85
12	98.23
16	99.95
20	99.93
22	99.57
18	99.92
14	98.15
24	98.94
28	99.95
32	98.64
36	99.92
34	98.92
30	95.57
26	99.93
40	94.38
44	99.80
46	99.61
42	99.20
38	97.29
1	98.60
5	99.52
9	97.21
13	99.93
11	99.30
7	99.30
3	99.77
17	99.95
21	99.90
25	99.95
23	99.95
19	99.90
15	99.95
29	92.82
33	99.93
37	99.95
35	99.95
31	99.95
27	99.83
41	99.95
45	99.90
47	99.46
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.96
0	0.00
4	99.93
8	94.02
10	99.80
6	98.70
2	99.80
12	98.36
16	99.93
20	99.93
22	99.65
18	99.93
14	97.96
24	98.71
28	99.93
32	98.68
36	99.87
34	98.86
30	95.46
26	99.93
40	94.49
44	99.78
46	99.59
42	98.91
38	96.95
1	98.46
5	99.44
9	98.57
13	99.90
11	99.37
7	99.23
3	99.80
17	99.93
21	99.88
25	99.93
23	99.93
19	99.85
15	99.90
29	92.65
33	99.93
37	99.85
35	99.90
31	99.81
27	99.81
41	99.93
45	99.88
47	99.51
43	99.84
39	99.70
 
CPU	CPU%c6
-	96.93
0	0.00
4	98.96
8	93.33
10	99.83
6	99.10
2	99.32
12	98.44
16	99.95
20	99.92
22	99.23
18	99.93
14	98.17
24	98.86
28	99.95
32	98.46
36	99.92
34	98.86
30	95.54
26	99.95
40	98.35
44	99.71
46	99.52
42	96.99
38	94.66
1	95.68
5	99.39
9	98.40
13	99.90
11	99.91
7	99.83
3	99.74
17	99.95
21	99.90
25	99.93
23	99.95
19	99.83
15	99.95
29	95.17
33	99.92
37	99.92
35	99.92
31	99.95
27	99.85
41	99.91
45	99.95
47	99.37
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.99
0	0.00
4	99.07
8	93.86
10	99.75
6	99.70
2	99.66
12	98.63
16	99.93
20	99.95
22	99.27
18	99.92
14	98.25
24	98.96
28	99.93
32	98.88
36	99.90
34	98.97
30	95.50
26	99.95
40	98.23
44	99.80
46	99.66
42	96.84
38	95.48
1	94.25
5	99.49
9	99.06
13	99.87
11	99.22
7	99.36
3	98.84
17	99.93
21	99.93
25	99.89
23	99.93
19	99.88
15	99.95
29	97.49
33	99.95
37	99.95
35	99.93
31	99.95
27	99.80
