CPU	CPU%c6
26	99.80
40	97.60
44	99.83
46	99.93
42	96.01
38	96.15
1	98.22
5	98.90
9	97.84
13	99.87
11	99.17
7	99.16
3	99.82
17	99.90
21	99.90
25	99.92
23	99.95
19	99.85
15	99.95
29	92.82
33	99.80
37	99.95
35	99.93
31	99.95
27	99.88
41	99.76
45	99.95
47	99.77
43	99.95
39	99.54
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.90
8	93.41
10	99.83
6	99.67
2	98.94
12	98.56
16	99.85
20	99.95
22	99.68
18	99.95
14	96.64
24	99.06
28	99.95
32	98.54
36	99.92
34	98.66
30	95.50
26	99.83
40	96.15
44	99.85
46	99.71
42	99.05
38	95.01
1	98.43
5	99.47
9	97.77
13	99.90
11	99.40
7	99.45
3	99.87
17	99.93
21	99.47
25	99.95
23	99.93
19	99.86
15	99.95
29	94.73
33	99.52
37	99.88
35	99.93
31	97.54
27	99.86
41	99.95
45	99.95
47	99.87
43	99.84
39	99.46
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.88
8	93.76
10	99.83
6	99.67
2	99.64
12	98.40
16	99.93
20	99.90
22	99.62
18	99.93
14	97.14
24	98.93
28	99.93
32	98.64
36	99.87
34	98.69
30	95.47
26	99.75
40	95.43
44	99.78
46	99.93
42	98.31
38	95.79
1	98.12
5	99.39
9	97.97
13	99.90
11	98.52
7	99.39
3	99.79
17	99.93
21	99.88
25	99.93
23	99.93
19	99.75
15	99.87
29	99.85
33	99.88
37	99.93
35	99.93
31	92.46
27	99.76
41	99.93
45	99.90
47	99.81
43	99.93
39	99.68
 
CPU	CPU%c6
-	96.96
0	0.00
4	99.93
8	91.90
10	99.77
6	99.55
2	99.59
12	98.70
16	99.95
20	99.95
22	99.44
18	99.74
14	98.04
24	98.96
28	99.95
32	98.63
36	99.90
34	98.91
30	95.50
26	99.83
40	94.36
44	99.80
46	99.78
42	97.02
38	98.90
1	98.24
5	99.42
9	98.63
13	99.93
11	99.28
7	99.35
3	99.85
17	99.95
21	99.93
25	99.93
23	99.95
19	99.85
15	99.95
29	99.90
33	99.95
37	99.93
35	99.95
31	92.92
27	99.88
41	99.95
45	99.95
47	99.85
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.42
8	92.22
10	99.83
6	99.74
2	99.21
12	98.52
16	99.93
20	99.93
22	99.48
18	99.93
14	98.20
24	99.04
28	99.90
32	98.56
36	99.90
34	98.80
30	95.48
26	99.81
40	95.44
44	99.73
46	99.66
42	96.31
38	98.01
1	98.26
5	99.43
9	98.48
13	99.88
11	99.87
7	99.85
3	99.81
17	99.93
21	99.88
25	99.93
23	99.92
19	99.85
15	99.93
29	99.88
33	99.85
37	99.93
35	99.90
31	92.92
27	99.80
41	99.90
45	99.93
47	99.80
43	99.93
39	99.70
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.80
8	91.81
10	99.80
6	99.64
2	99.64
12	98.45
16	99.93
20	99.95
22	99.54
18	99.95
14	98.02
24	98.90
28	99.95
32	98.41
36	99.90
34	98.76
30	95.50
26	99.83
40	98.23
44	99.74
46	99.82
42	94.92
38	97.05
1	98.24
5	99.77
9	98.52
13	99.90
11	99.38
7	98.78
3	99.66
17	99.93
21	99.92
25	99.95
23	99.95
19	99.88
15	99.95
29	99.95
33	99.88
37	99.92
35	99.92
31	93.40
27	99.85
41	99.91
45	99.95
47	99.95
43	99.92
39	99.73
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.80
8	92.28
10	99.85
6	99.69
2	99.42
12	98.53
16	99.90
20	99.93
22	99.69
18	99.92
14	97.42
24	99.07
28	99.95
32	98.66
36	99.92
34	98.80
30	95.47
26	99.72
40	97.48
44	99.88
46	99.83
42	94.94
38	98.08
1	98.18
5	99.47
9	97.25
13	99.89
11	99.20
7	99.22
3	99.74
17	99.95
21	99.71
25	99.92
23	99.95
19	99.73
15	99.93
29	99.95
33	99.83
37	99.95
35	99.95
31	93.11
27	99.71
41	99.95
45	99.95
47	99.95
43	99.95
39	99.70
 
CPU	CPU%c6
-	96.96
0	0.00
4	99.85
8	93.33
10	99.80
6	99.67
2	99.46
12	98.67
16	99.93
20	99.93
22	99.61
18	99.90
14	97.10
24	98.73
28	99.93
32	98.27
36	99.87
34	98.58
30	95.54
26	99.81
40	96.24
44	99.73
46	99.90
42	94.98
38	99.61
1	98.15
5	99.75
9	98.02
13	99.90
11	99.42
7	99.39
3	99.80
17	99.93
21	99.90
25	99.90
23	99.93
19	99.80
15	99.93
29	99.93
33	99.85
37	99.90
35	99.93
31	92.86
27	99.83
41	99.93
45	99.93
47	99.92
43	99.90
39	99.73
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.88
8	93.86
10	99.88
6	99.59
2	99.62
12	98.59
16	99.95
20	99.95
22	99.50
18	99.95
14	97.27
24	98.65
28	99.93
32	98.68
36	99.92
34	98.63
30	95.52
26	99.83
40	95.37
44	99.78
46	99.89
42	96.53
38	98.35
1	98.39
5	99.56
9	97.83
13	99.90
11	98.75
7	99.47
3	99.74
17	99.95
21	99.90
25	99.95
23	99.93
19	99.87
15	99.95
29	99.93
33	99.83
37	99.95
35	99.93
31	92.23
27	99.83
41	99.90
45	99.95
47	99.93
43	99.95
39	99.73
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.33
8	91.78
10	99.72
6	99.35
2	99.16
12	98.47
16	99.90
20	99.93
22	99.75
18	99.89
14	97.55
24	98.92
28	99.93
32	98.48
36	99.90
34	98.76
30	95.52
26	99.78
40	94.32
44	99.78
46	99.85
42	99.30
38	97.26
1	98.51
5	99.42
9	99.02
13	99.90
11	99.90
7	99.90
3	99.88
17	99.90
21	99.90
25	99.93
23	99.93
19	99.78
15	99.93
29	99.93
33	99.83
37	99.93
35	99.93
31	92.45
27	99.80
41	99.93
45	99.90
47	99.93
43	99.93
39	99.44
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.93
8	92.89
10	99.88
6	99.62
2	99.49
12	98.34
16	99.95
20	99.93
22	99.33
18	99.95
14	97.56
24	99.07
28	99.95
32	98.51
36	99.90
34	98.72
30	95.45
26	99.83
40	95.79
44	99.80
46	99.92
42	98.19
38	95.87
1	98.30
5	99.50
9	97.76
13	99.93
11	99.25
7	99.25
3	99.84
17	99.95
21	99.88
25	99.95
23	99.95
19	99.85
15	99.93
29	99.95
33	99.83
37	99.95
35	99.95
31	92.26
27	99.82
41	99.95
45	99.95
47	99.95
43	99.95
39	99.51
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.88
8	92.42
10	99.75
6	99.60
2	99.37
12	98.55
16	99.92
20	99.95
22	99.57
18	99.93
14	97.73
24	99.05
28	99.92
32	98.41
36	99.90
34	98.50
30	95.55
26	99.83
40	98.34
44	99.73
46	99.78
42	97.09
38	95.18
1	98.14
5	99.57
9	98.70
13	99.90
11	98.67
7	99.14
3	99.58
17	99.92
21	99.67
25	99.93
23	99.95
19	99.85
15	99.95
29	99.92
33	99.88
37	99.89
35	99.95
31	92.58
27	99.85
41	99.89
45	99.95
47	99.95
43	99.89
39	99.56
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.55
8	92.64
10	99.83
6	99.50
2	99.14
12	98.47
16	99.85
20	99.93
22	99.65
18	99.72
14	96.85
24	99.14
28	99.90
32	98.68
36	99.90
34	98.82
30	95.42
26	99.77
40	97.44
44	99.75
46	99.86
42	96.15
38	96.93
1	98.04
5	99.69
9	97.70
13	99.84
11	99.84
7	99.73
3	99.74
17	99.73
21	99.88
25	99.89
23	99.90
19	99.83
15	99.93
29	99.90
33	99.66
37	99.90
35	99.90
31	92.87
27	99.68
41	99.90
45	99.93
47	99.90
43	99.93
39	99.63
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.88
8	93.17
10	99.80
6	99.64
2	99.61
12	98.56
16	99.95
20	99.93
22	99.61
18	99.83
14	97.20
24	99.09
28	99.95
32	98.46
36	99.92
34	98.80
30	95.55
26	99.81
40	96.26
44	99.80
46	99.83
42	95.04
38	98.70
1	97.88
5	99.73
9	98.42
13	99.93
11	99.20
7	99.42
3	99.49
17	99.93
21	99.93
25	99.95
23	99.95
19	99.90
15	99.95
29	99.95
33	99.85
37	99.95
35	99.95
31	92.00
27	99.83
41	99.95
45	99.93
47	99.95
43	99.95
39	99.74
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.90
8	93.89
10	99.88
6	99.68
2	99.66
12	98.44
16	99.95
20	99.95
22	99.53
18	99.95
14	97.23
24	99.02
28	99.95
32	98.28
36	99.90
34	98.79
30	95.47
26	99.83
40	95.16
44	99.75
46	99.85
42	96.78
38	98.14
1	98.29
5	99.51
9	98.15
13	99.93
11	99.07
7	99.33
3	99.43
17	99.95
21	99.72
25	99.95
23	99.95
19	99.69
15	99.93
29	99.95
33	99.83
37	99.93
35	99.95
31	92.12
27	99.83
41	99.95
45	99.95
47	99.95
43	99.93
39	99.72
 
