container_id,container_pid,time,socket,duration_sec,num_proc,num_threads,pkg_credit_frac,dram_credit_frac,total_pkg_joules,total_dram_joules,base_pkg_joules,base_dram_joules,ascribed_pkg_joules,ascribed_dram_joules,pkg_percent,dram_percent
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003608.9478464,0,0.0755803510546684,5,0,0.6250000000005684,0.0005035092199924,3.5395420000131708,0.47145399999863,8.76247602181999,1.127930927007842,0.0,0.0,7.685416666666666,20.206081309395547
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003608.9478464,1,0.0755803510546684,5,0,0.0,0.0,3.342398999986472,0.6253870000000461,8.434956128546254,1.0250131629727528,0.0,0.0,2.216666666666667,8.468938722056953
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.1329372,0,0.0759337410563603,5,0,0.6000000000032745,0.0007411626110768,3.97179199999664,0.4819189999980153,8.803446609717053,1.1332047780371302,0.0,0.0,10.258333333333336,20.207636830407324
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.1329372,1,0.0759337410563603,5,0,0.0,0.0,3.1268229999986943,0.6050529999993159,8.47439533620992,1.0298058028367187,0.0,0.0,0.3979166666666667,8.46973455157952
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.2851229,0,0.0742925350787118,5,0,0.470588235293916,0.0012574093385616,3.780935000017053,0.4659459999966202,8.613171917613405,1.108712076508913,0.0,0.0,9.722916666666666,20.21515167853855
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.2851229,1,0.0742925350787118,5,0,0.0,0.0,3.194266999984393,0.6038459999981569,8.291232646090107,1.007547931488351,0.0,0.0,1.1333333333333333,8.470933463587544
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.4402058,0,0.0760402709711343,5,0,0.6060606060640795,0.0014361348792128,3.672902999998769,0.4694960000051651,8.815797251263273,1.1347945878732633,0.0,0.0,9.858333333333334,20.22091131039297
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.4402058,1,0.0760402709711343,5,0,0.0,0.0,3.239616000006208,0.6133150000023306,8.48628434102344,1.0312505508878984,0.0,0.0,1.6666666666666667,8.471491577798176
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.5781772,0,0.0749400479253381,5,0,0.6000000000024939,0.0014361307736629,3.823903999989852,0.4762439999976777,8.68824190224843,1.1183752992268976,0.0,0.0,9.564583333333331,20.220921820670075
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.5781772,1,0.0749400479253381,5,0,0.0,0.0,3.424979000003077,0.6287079999965499,8.363496698555446,1.0163294359630508,0.0,0.0,3.10625,8.47300055325655
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.7387094,0,0.0754200420342385,5,0,0.5384615384522969,0.0014361046480562,3.9170429999940097,0.4788900000057765,8.743890451258379,1.1255385393105373,0.0,0.0,10.045833333333333,20.22167856062176
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.7387094,1,0.0754200420342385,5,0,0.0,0.0,3.2811190000211354,0.613973999999871,8.4170652410938,1.022839068068576,0.0,0.0,1.6520833333333331,8.476028839621645
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.9216616,0,0.0764638299588114,5,0,0.6060606060573995,0.001436095317648,3.728201000019908,0.4812769999989541,8.8649029437026,1.141115612781808,0.0,0.0,9.0625,20.221457844802515
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003609.9216616,1,0.0764638299588114,5,0,0.0,0.0,3.3524690000049304,0.627453000000969,8.533554582945492,1.0369948155229014,0.0,0.0,0.9479166666666666,8.476152865001783
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003610.06147,0,0.0746957679511979,5,0,0.6875000000006259,0.0014360796429642,3.790761999989627,0.4630539999998291,8.659921083594567,1.1147297626047914,0.0,0.0,10.189583333333331,20.221583968127792
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003610.06147,1,0.0746957679511979,5,0,0.0,0.0,3.226920999994036,0.5983070000002044,8.336234442741565,1.0130165353817442,0.0,0.0,1.15625,8.476214877691856
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003610.2216213,0,0.0755290320375934,5,0,0.5749999999874494,0.0014360158279289,3.928883999993559,0.4749880000017583,8.756526305388299,1.1271650625246157,0.0,0.0,11.4375,20.22269805750109
58f07bbb508d8b24e04d5494b8385ccb4e515455cdf289a9effab3cc9d385de9,1595951,1709003610.2216213,1,0.0755290320375934,5,0,0.0,0.0,3.132255000004079,0.5913909999944735,8.429228797943162,1.0243171795950805,0.0,0.0,0.3979166666666667,8.476214877691856
